time,iteration,size,seconds,microseconds
1522544796, 501, 1511855, 2, 45149
1522544798, 502, 1000535, 1, 330610
1522544799, 503, 1278476, 1, 637792
1522544800, 504, 437643, 1, 28996
1522544802, 505, 1087667, 1, 734884
1522544805, 506, 1278476, 2, 560466
1522544807, 507, 1511855, 1, 841440
1522544809, 508, 1511855, 2, 302974
1522544811, 509, 1000535, 1, 961788
1522544812, 510, 951239, 1, 470589
1522544815, 511, 1087667, 2, 456236
1522544816, 512, 1000535, 1, 230371
1522544818, 513, 1000535, 2, 161743
1522544823, 514, 3224957, 4, 591317
1522544828, 515, 3688570, 5, 631806
1522544830, 516, 951239, 1, 127944
1522544831, 517, 1000535, 1, 842064
1522544835, 518, 1615289, 4, 93475
1522544836, 519, 951239, 1, 28009
1522544838, 520, 1000535, 1, 19857
1522544839, 521, 951239, 1, 520375
1522544842, 522, 1615289, 2, 706858
1522544848, 523, 3688570, 5, 776792
1522544850, 524, 1278476, 2, 180302
1522544851, 525, 1000535, 1, 741436
1522544858, 526, 3688570, 6, 757536
1522544859, 527, 437643, 0, 942683
1522544860, 528, 1000535, 1, 103300
1522544862, 529, 951239, 1, 636536
1522544864, 530, 1278476, 2, 47426
1522544867, 531, 1278476, 2, 969439
1522544868, 532, 1087667, 1, 433952
1522544874, 533, 3224957, 5, 182018
1522544874, 534, 437643, 0, 697210
1522544879, 535, 3224957, 5, 7284
1522544881, 536, 1087667, 1, 706121
1522544882, 537, 437643, 1, 26013
1522544888, 538, 4919186, 6, 440078
1522544894, 539, 3688570, 5, 537827
1522544895, 540, 437643, 0, 596192
1522544903, 541, 4919186, 8, 106393
1522544907, 542, 1615289, 3, 892768
1522544909, 543, 1278476, 2, 753941
1522544910, 544, 1087667, 1, 134073
1522544915, 545, 3224957, 4, 610476
1522544917, 546, 951239, 1, 515278
1522544922, 547, 3688570, 5, 344152
1522544923, 548, 951239, 1, 536321
1522544925, 549, 1278476, 1, 328111
1522544925, 550, 437643, 0, 511339
1522544927, 551, 1000535, 1, 638008
1522544935, 552, 4919186, 7, 987466
1522544937, 553, 1278476, 2, 251978
1522544938, 554, 1087667, 1, 228549
1522544940, 555, 1511855, 1, 844437
1522544942, 556, 1087667, 2, 149792
1522544947, 557, 3224957, 5, 15284
1522544955, 558, 4919186, 7, 373216
1522544957, 559, 1615289, 2, 110068
1522544960, 560, 1511855, 2, 756575
1522544962, 561, 951239, 1, 951989
1522544969, 562, 4919186, 7, 798475
1522544971, 563, 1087667, 1, 256751
1522544973, 564, 1087667, 2, 353565
1522544979, 565, 3224957, 5, 838213
1522544979, 566, 437643, 0, 565527
1522544981, 567, 1278476, 1, 783417
1522544984, 568, 1615289, 2, 572520
1522544991, 569, 4919186, 6, 852129
1522544995, 570, 3224957, 4, 398182
1522545000, 571, 3688570, 5, 122253
1522545005, 572, 3224957, 4, 612744
1522545007, 573, 1511855, 2, 658047
1522545009, 574, 1278476, 1, 741228
1522545012, 575, 1511855, 2, 658480
1522545015, 576, 1278476, 3, 83565
1522545016, 577, 951239, 1, 114762
1522545019, 578, 1000535, 2, 728414
1522545022, 579, 1615289, 2, 901176
1522545028, 580, 4919186, 6, 867093
1522545030, 581, 1087667, 1, 735303
1522545034, 582, 1615289, 3, 684212
1522545035, 583, 1511855, 1, 433361
1522545042, 584, 4919186, 6, 529029
1522545042, 585, 437643, 0, 475592
1522545043, 586, 437643, 0, 572088
1522545044, 587, 1000535, 1, 418627
1522545047, 588, 951239, 2, 164618
1522545049, 589, 1615289, 2, 50525
1522545051, 590, 1615289, 2, 351923
1522545053, 591, 1000535, 1, 843358
1522545055, 592, 1278476, 2, 149461
1522545060, 593, 3688570, 5, 535459
1522545062, 594, 951239, 1, 632759
1522545065, 595, 1615289, 2, 897648
1522545067, 596, 1278476, 1, 811188
1522545070, 597, 1615289, 2, 870211
1522545076, 598, 3224957, 6, 447099
1522545081, 599, 3688570, 5, 125258
1522545083, 600, 1087667, 1, 531051
1522545084, 601, 1000535, 1, 637142
1522545089, 602, 3688570, 4, 917781
1522545091, 603, 1087667, 1, 743777
1522545094, 604, 1511855, 2, 862566
1522545095, 605, 951239, 1, 331300
1522545100, 606, 3688570, 4, 301291
1522545102, 607, 1087667, 2, 109057
1522545104, 608, 1087667, 1, 982588
1522545105, 609, 1000535, 1, 331129
1522545108, 610, 1511855, 3, 74316
1522545115, 611, 4919186, 7, 166533
1522545117, 612, 1615289, 1, 738207
1522545120, 613, 951239, 2, 900121
1522545126, 614, 3688570, 6, 423535
1522545128, 615, 1000535, 1, 837079
1522545132, 616, 1278476, 3, 685791
1522545133, 617, 1000535, 1, 228590
1522545141, 618, 4919186, 7, 475126
1522545142, 619, 1511855, 1, 947482
1522545147, 620, 3688570, 4, 915212
1522545149, 621, 1000535, 1, 737118
1522545151, 622, 1278476, 1, 945315
1522545158, 623, 4919186, 7, 271496
1522545161, 624, 1615289, 2, 968096
1522545163, 625, 951239, 1, 534971
1522545165, 626, 1278476, 1, 946362
1522545167, 627, 1000535, 1, 841794
1522545173, 628, 4919186, 6, 143522
1522545174, 629, 951239, 1, 126538
1522545174, 630, 437643, 0, 511646
1522545175, 631, 437643, 0, 489417
1522545178, 632, 1087667, 2, 683732
1522545184, 633, 4919186, 6, 655487
1522545191, 634, 3688570, 6, 553834
1522545193, 635, 1615289, 2, 48118
1522545195, 636, 1087667, 1, 881301
1522545197, 637, 1511855, 2, 217147
1522545199, 638, 951239, 2, 349592
1522545202, 639, 1615289, 2, 559429
1522545202, 640, 437643, 0, 618774
1522545208, 641, 3688570, 5, 319946
1522545214, 642, 3688570, 6, 41011
1522545219, 643, 3224957, 5, 556654
1522545220, 644, 951239, 1, 103142
1522545226, 645, 3688570, 5, 729772
1522545231, 646, 3224957, 4, 504903
1522545235, 647, 3688570, 4, 403995
1522545238, 648, 1087667, 2, 968734
1522545240, 649, 1000535, 1, 740376
1522545242, 650, 1278476, 2, 455955
1522545244, 651, 1000535, 2, 87720
1522545245, 652, 437643, 1, 88226
1522545248, 653, 1000535, 2, 783129
1522545253, 654, 3688570, 4, 691627
1522545253, 655, 437643, 0, 522768
1522545255, 656, 1000535, 1, 701360
1522545257, 657, 437643, 1, 397890
1522545257, 658, 437643, 0, 571767
1522545260, 659, 1000535, 2, 669403
1522545267, 660, 4919186, 7, 571302
1522545269, 661, 1000535, 1, 739122
1522545271, 662, 1000535, 1, 538713
1522545273, 663, 1511855, 2, 46810
1522545276, 664, 1000535, 2, 974563
1522545277, 665, 951239, 1, 118079
1522545279, 666, 1278476, 1, 945240
1522545281, 667, 951239, 2, 50050
1522545282, 668, 437643, 1, 29485
1522545284, 669, 1000535, 1, 916775
1522545284, 670, 437643, 0, 481229
1522545287, 671, 1000535, 2, 408515
1522545292, 672, 3688570, 5, 634034
1522545294, 673, 1087667, 1, 628255
1522545297, 674, 951239, 2, 768145
1522545299, 675, 1615289, 1, 946970
1522545303, 676, 3688570, 4, 813731
1522545309, 677, 3688570, 5, 119250
1522545310, 678, 1000535, 1, 20932
1522545314, 679, 3688570, 4, 174941
1522545321, 680, 4919186, 7, 395765
1522545326, 681, 3224957, 4, 914393
1522545331, 682, 3688570, 5, 221911
1522545333, 683, 1511855, 2, 154114
1522545335, 684, 1087667, 1, 889262
1522545337, 685, 1000535, 1, 997342
1522545339, 686, 1000535, 2, 153048
1522545340, 687, 437643, 0, 611086
1522545347, 688, 4919186, 6, 656666
1522545349, 689, 1511855, 2, 458083
1522545351, 690, 1278476, 1, 739527
1522545358, 691, 4919186, 6, 551137
1522545362, 692, 3688570, 4, 710228
1522545364, 693, 1000535, 1, 332093
1522545368, 694, 3688570, 4, 791442
1522545374, 695, 3688570, 5, 948652
1522545379, 696, 3688570, 4, 932375
1522545382, 697, 1511855, 2, 559611
1522545385, 698, 1615289, 3, 166380
1522545386, 699, 1000535, 1, 433493
1522545389, 700, 1615289, 3, 80733
