time,iteration,size,seconds,microseconds
1522534333, 555, 3688570, 5, 192094
1522534334, 556, 437643, 0, 951735
1522534344, 557, 4919186, 9, 726621
1522534346, 558, 1000535, 2, 483363
1522534351, 559, 3224957, 4, 545573
1522534355, 560, 3224957, 4, 235295
1522534361, 561, 3688570, 6, 449795
1522534366, 562, 3224957, 4, 914027
1522534367, 563, 437643, 1, 12581
1522534372, 564, 3224957, 5, 201222
1522534374, 565, 951239, 1, 669766
1522534376, 566, 1087667, 2, 49897
1522534379, 567, 1000535, 2, 864656
1522534382, 568, 1615289, 3, 174471
1522534384, 569, 951239, 1, 389132
1522534386, 570, 951239, 2, 605483
1522534387, 571, 437643, 0, 918972
1522534389, 572, 1000535, 1, 625450
1522534390, 573, 1000535, 1, 805504
1522534398, 574, 4919186, 7, 895698
1522534400, 575, 1278476, 1, 880991
1522534406, 576, 3688570, 5, 308940
1522534414, 577, 4919186, 8, 412635
1522534415, 578, 1000535, 1, 125147
1522534418, 579, 1278476, 2, 458757
1522534420, 580, 1278476, 2, 763281
1522534423, 581, 1278476, 2, 867931
1522534425, 582, 951239, 1, 537228
1522534425, 583, 437643, 0, 609663
1522534427, 584, 1278476, 1, 948272
1522534431, 585, 951239, 3, 420552
1522534436, 586, 3224957, 5, 320871
1522534438, 587, 1000535, 1, 812479
1522534445, 588, 4919186, 7, 262896
1522534447, 589, 1278476, 1, 737943
1522534449, 590, 1278476, 1, 747471
1522534451, 591, 1278476, 2, 253737
1522534454, 592, 1615289, 3, 578148
1522534457, 593, 1000535, 2, 145624
1522534460, 594, 1511855, 3, 480441
1522534461, 595, 1000535, 1, 331829
1522534467, 596, 3688570, 5, 528560
1522534469, 597, 951239, 2, 204894
1522534470, 598, 437643, 0, 560221
1522534470, 599, 437643, 0, 539951
1522534472, 600, 951239, 1, 710053
1522534479, 601, 4919186, 7, 475681
1522534481, 602, 1000535, 1, 848748
1522534483, 603, 951239, 1, 957772
1522534485, 604, 951239, 1, 925540
1522534490, 605, 3224957, 5, 120538
1522534491, 606, 951239, 1, 230076
1522534493, 607, 1087667, 1, 560725
1522534495, 608, 1000535, 2, 387144
1522534501, 609, 3224957, 5, 53660
1522534503, 610, 1511855, 2, 867734
1522534507, 611, 1615289, 3, 583010
1522534509, 612, 1087667, 1, 699445
1522534510, 613, 1000535, 1, 474585
1522534512, 614, 1000535, 1, 943945
1522534514, 615, 951239, 2, 163813
1522534517, 616, 1615289, 2, 521234
1522534518, 617, 1278476, 1, 663969
1522534524, 618, 3224957, 5, 91433
1522534525, 619, 951239, 1, 662573
1522534527, 620, 1000535, 1, 474003
1522534527, 621, 437643, 0, 583727
1522534529, 622, 1087667, 1, 832232
1522534531, 623, 1087667, 1, 843263
1522534533, 624, 1087667, 1, 754889
1522534534, 625, 1000535, 1, 624237
1522534535, 626, 437643, 1, 22326
1522534536, 627, 437643, 0, 545448
1522534541, 628, 3224957, 5, 290840
1522534542, 629, 437643, 0, 547043
1522534544, 630, 1087667, 1, 840280
1522534545, 631, 1000535, 1, 603781
1522534547, 632, 1278476, 2, 145701
1522534549, 633, 1278476, 2, 59664
1522534551, 634, 951239, 1, 991391
1522534553, 635, 1000535, 1, 277809
1522534559, 636, 3688570, 6, 582949
1522534562, 637, 1615289, 2, 733794
1522534565, 638, 1000535, 2, 561395
1522534567, 639, 1615289, 2, 519525
1522534572, 640, 3224957, 4, 951380
1522534575, 641, 1511855, 2, 866643
1522534576, 642, 437643, 0, 720862
1522534581, 643, 3688570, 5, 854110
1522534583, 644, 1000535, 1, 659775
1522534585, 645, 1000535, 1, 603909
1522534587, 646, 1000535, 2, 506769
1522534588, 647, 951239, 1, 278146
1522534589, 648, 437643, 0, 960559
1522534591, 649, 437643, 1, 80175
1522534598, 650, 4919186, 7, 678824
1522534600, 651, 1087667, 1, 947642
1522534604, 652, 1615289, 3, 480633
1522534606, 653, 1278476, 1, 944999
1522534608, 654, 1000535, 2, 191849
1522534613, 655, 3688570, 5, 487624
1522534615, 656, 1000535, 1, 843920
1522534617, 657, 1000535, 2, 150064
1522534619, 658, 1278476, 2, 74705
1522534622, 659, 1278476, 2, 631865
1522534624, 660, 1000535, 1, 746718
1522534625, 661, 951239, 1, 324539
1522534627, 662, 1278476, 1, 901760
1522534632, 663, 3688570, 5, 48128
1522534634, 664, 1278476, 1, 644043
1522534635, 665, 1000535, 1, 750099
1522534640, 666, 3688570, 4, 914746
1522534643, 667, 1511855, 2, 968931
1522534649, 668, 3688570, 5, 321519
1522534651, 669, 1511855, 2, 418535
1522534653, 670, 1000535, 1, 523425
1522534654, 671, 951239, 1, 238351
1522534663, 672, 4919186, 8, 749604
1522534666, 673, 1615289, 3, 172130
1522534668, 674, 1000535, 2, 44983
1522534669, 675, 437643, 1, 131480
1522534670, 676, 1087667, 1, 226674
1522534673, 677, 1278476, 2, 571263
1522534675, 678, 951239, 2, 270821
1522534678, 679, 1278476, 2, 628357
1522534680, 680, 1615289, 2, 764260
1522534686, 681, 3224957, 6, 41661
1522534695, 682, 4919186, 8, 946906
1522534698, 683, 1511855, 2, 245260
1522534701, 684, 1615289, 3, 860154
1522534710, 685, 4919186, 8, 193125
1522534711, 686, 951239, 1, 635041
1522534713, 687, 1087667, 1, 847291
1522534716, 688, 1511855, 2, 555353
1522534718, 689, 1615289, 2, 346384
1522534720, 690, 1087667, 1, 953114
1522534727, 691, 3688570, 7, 370745
1522534730, 692, 1511855, 2, 969682
1522534733, 693, 1615289, 2, 666184
1522534735, 694, 1000535, 1, 870966
1522534737, 695, 951239, 1, 713173
1522534740, 696, 1615289, 3, 35748
1522534745, 697, 3224957, 5, 663020
1522534748, 698, 1000535, 2, 417075
1522534750, 699, 1087667, 2, 83251
1522534751, 700, 1087667, 1, 323528
1522534753, 701, 951239, 1, 535044
